都道府県コード又は市区町村コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85-89歳の男性,85-89歳の女性,90歳以上の男性,90歳以上の女性,世帯数,備考
032018,岩手県,盛岡市,2025-09-30,東安庭字,295,143,152,2,3,6,5,6,12,5,2,4,0,4,5,10,7,4,4,10,10,12,9,11,6,8,8,7,13,20,16,10,19,12,11,6,11,5,6,1,5,128,
032018,岩手県,盛岡市,2025-09-30,門字,209,106,103,0,1,4,2,3,5,8,4,2,2,1,3,11,3,5,1,11,4,8,3,5,7,7,7,4,11,11,7,8,8,6,11,6,9,3,4,3,11,91,
032018,岩手県,盛岡市,2025-09-30,砂子沢,60,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,2,0,2,2,2,1,8,7,3,4,3,6,3,3,1,7,41,
032018,岩手県,盛岡市,2025-09-30,根田茂,30,15,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,0,3,0,2,4,3,3,0,1,1,1,0,2,17,
032018,岩手県,盛岡市,2025-09-30,簗川,52,23,29,0,0,0,0,0,1,0,1,1,1,1,0,2,0,1,2,1,0,0,0,1,1,2,0,2,3,4,4,2,1,1,2,1,5,2,7,2,1,25,
032018,岩手県,盛岡市,2025-09-30,川目,911,457,454,4,5,7,5,18,18,8,9,24,17,20,7,13,13,16,15,19,21,53,25,39,38,30,25,28,33,47,46,52,44,36,46,18,42,16,27,9,18,458,
032018,岩手県,盛岡市,2025-09-30,下厨川字,141,94,47,2,2,2,0,3,0,3,4,13,7,17,7,8,3,5,6,3,1,4,2,10,3,12,7,6,0,2,2,3,1,0,1,0,1,1,0,0,0,104,
032018,岩手県,盛岡市,2025-09-30,上厨川字,1102,522,580,7,8,18,15,30,26,35,24,17,15,25,17,25,16,19,23,24,23,40,37,49,38,36,35,37,40,40,46,31,37,34,49,28,50,19,44,8,37,523,
032018,岩手県,盛岡市,2025-09-30,平賀新田字,272,143,129,5,2,5,3,6,5,6,4,7,5,11,5,5,4,6,6,6,3,6,16,14,9,13,7,9,8,7,4,10,18,14,10,5,8,5,10,3,2,122,
032018,岩手県,盛岡市,2025-09-30,土淵字,310,142,168,3,2,5,6,5,6,3,6,5,6,5,2,4,4,4,7,11,8,14,7,14,9,7,5,8,8,11,17,18,23,12,11,7,17,6,9,0,15,132,
032018,岩手県,盛岡市,2025-09-30,本宮字,1171,563,608,15,15,13,16,23,16,36,32,19,23,18,13,27,18,22,17,35,34,45,55,41,40,37,30,33,38,35,40,44,42,43,66,44,47,23,33,10,33,518,
032018,岩手県,盛岡市,2025-09-30,向中野字,1155,559,596,85,80,68,55,30,39,22,22,6,12,25,39,67,83,83,88,57,56,37,25,22,22,13,17,10,8,10,15,10,4,5,11,4,8,5,8,0,4,408,
032018,岩手県,盛岡市,2025-09-30,下鹿妻字,383,176,207,2,2,7,6,14,8,10,13,9,10,3,11,4,2,6,7,17,13,14,20,15,14,12,14,16,9,9,13,11,16,16,21,8,14,2,9,1,5,147,
032018,岩手県,盛岡市,2025-09-30,上太田,1520,732,788,10,7,16,22,26,27,29,24,25,21,26,19,15,20,24,15,41,38,59,55,68,56,56,59,62,37,59,66,73,92,77,83,39,53,19,48,8,46,705,
032018,岩手県,盛岡市,2025-09-30,中太田,679,330,349,3,9,10,11,6,8,15,5,7,6,16,6,9,9,12,12,18,19,19,14,36,22,22,29,38,24,22,29,39,42,30,42,12,23,8,25,8,14,317,
032018,岩手県,盛岡市,2025-09-30,下太田,521,248,273,10,8,5,11,10,8,9,11,9,8,10,13,12,12,12,13,25,15,23,13,13,16,12,18,12,8,22,18,19,25,20,33,13,18,5,15,7,10,252,
032018,岩手県,盛岡市,2025-09-30,猪去,472,209,263,5,2,2,4,8,8,10,10,10,7,4,2,3,5,7,5,13,11,17,17,16,14,14,14,15,14,15,22,27,28,20,24,11,26,7,15,5,35,210,
032018,岩手県,盛岡市,2025-09-30,上鹿妻,603,306,297,5,3,8,16,11,14,18,7,15,2,7,5,9,6,20,13,25,29,18,12,16,8,18,10,22,24,27,32,37,40,25,24,10,21,6,16,9,15,269,
032018,岩手県,盛岡市,2025-09-30,繋字,706,319,387,4,3,0,6,6,8,5,14,11,11,17,8,17,6,7,9,16,20,25,17,26,27,18,29,32,25,25,27,27,43,34,35,19,36,20,29,10,34,423,
032018,岩手県,盛岡市,2025-09-30,東見前,2698,1314,1384,63,53,77,63,52,65,50,50,52,50,74,74,92,88,94,93,109,113,116,92,88,104,74,78,65,70,81,83,87,89,66,103,41,62,24,37,9,17,1309,
032018,岩手県,盛岡市,2025-09-30,西見前,5057,2414,2643,88,76,110,95,138,146,138,139,101,114,101,110,115,119,164,158,166,161,187,195,184,205,160,143,142,174,149,155,161,178,149,192,102,144,42,76,17,63,2270,
032018,岩手県,盛岡市,2025-09-30,三本柳,7088,3474,3614,152,136,220,184,181,168,173,160,160,142,192,202,216,214,233,280,259,249,307,279,302,283,196,209,177,179,163,181,176,189,172,226,115,170,50,85,30,78,3340,
032018,岩手県,盛岡市,2025-09-30,津志田,2749,1297,1452,73,75,66,78,67,43,50,60,44,51,65,88,106,120,101,101,88,94,86,89,102,107,85,78,76,77,55,78,75,63,70,94,44,62,29,61,15,33,1311,
032018,岩手県,盛岡市,2025-09-30,永井,8232,3859,4373,132,153,160,188,193,189,209,183,156,186,210,210,223,229,259,268,274,298,267,301,329,342,241,253,237,247,232,270,273,292,241,334,130,189,63,133,30,108,3872,
032018,岩手県,盛岡市,2025-09-30,下飯岡,1033,501,532,7,3,22,19,23,27,21,22,22,16,15,7,19,22,28,26,38,30,37,37,33,29,30,37,38,34,38,50,50,53,37,52,23,24,16,28,4,16,446,
032018,岩手県,盛岡市,2025-09-30,上飯岡,729,355,374,5,2,4,8,12,12,16,15,16,10,8,6,10,13,15,16,24,15,28,26,27,20,22,15,30,29,29,30,42,46,40,37,18,25,6,17,3,32,350,
032018,岩手県,盛岡市,2025-09-30,飯岡新田,174,82,92,3,4,3,4,2,2,2,2,0,2,3,1,6,3,8,9,7,6,4,6,9,5,2,1,3,5,7,10,12,9,4,11,2,4,3,3,2,5,67,
032018,岩手県,盛岡市,2025-09-30,羽場,678,334,344,5,2,4,4,23,8,14,11,10,12,5,6,3,8,20,9,18,19,33,22,26,22,22,22,18,24,24,38,30,37,36,42,19,18,14,20,10,20,299,
032018,岩手県,盛岡市,2025-09-30,湯沢,699,335,364,4,6,6,10,10,14,15,13,13,9,12,6,10,8,20,14,23,25,26,17,24,22,23,12,28,33,25,38,30,29,33,35,13,27,14,24,6,22,284,
032018,岩手県,盛岡市,2025-09-30,乙部,2051,1015,1036,17,30,33,22,34,22,53,36,35,39,45,37,42,33,46,50,60,64,82,58,82,67,66,67,63,76,83,79,84,106,103,102,54,64,24,43,9,41,948,
032018,岩手県,盛岡市,2025-09-30,大ケ生,254,125,129,2,0,3,3,3,3,1,6,3,2,3,3,2,0,7,1,6,5,7,5,12,6,9,7,16,12,12,16,13,10,13,21,9,8,3,12,1,9,116,
032018,岩手県,盛岡市,2025-09-30,黒川,2615,1265,1350,31,31,38,43,51,58,79,71,65,78,51,51,59,40,54,60,73,74,76,75,105,103,98,93,107,96,94,114,97,91,81,120,61,74,29,43,16,35,1172,
032018,岩手県,盛岡市,2025-09-30,手代森,1969,979,990,16,15,23,25,35,28,39,37,26,40,32,25,40,24,52,32,59,46,73,52,76,75,63,76,87,98,115,100,93,91,75,95,32,42,25,43,18,46,909,
032018,岩手県,盛岡市,2025-09-30,松内字,195,98,97,0,0,1,0,5,3,2,3,8,4,8,2,3,1,2,3,6,7,7,4,5,5,7,9,8,6,7,8,15,10,5,12,3,9,6,3,0,8,74,
032018,岩手県,盛岡市,2025-09-30,好摩字,3053,1471,1582,32,23,38,49,68,50,71,71,58,56,62,45,76,52,71,60,84,93,97,92,98,113,94,103,113,97,127,123,144,162,107,135,59,102,46,81,26,75,1442,
032018,岩手県,盛岡市,2025-09-30,玉山永井字,186,93,93,2,1,1,0,0,0,3,1,0,0,2,1,3,6,4,3,2,1,6,5,3,2,4,5,13,12,13,7,14,9,10,13,5,6,5,11,3,10,86,
032018,岩手県,盛岡市,2025-09-30,寺林字,182,83,99,0,1,1,1,3,2,4,5,2,1,1,1,1,2,2,3,7,8,3,7,3,1,6,7,7,7,12,14,10,12,11,9,3,2,2,9,5,7,81,
032018,岩手県,盛岡市,2025-09-30,巻堀字,183,89,94,2,0,1,1,0,3,3,4,3,2,3,3,4,1,1,3,6,4,3,2,5,7,9,8,12,5,10,7,14,14,1,6,6,7,3,8,3,9,73,
032018,岩手県,盛岡市,2025-09-30,玉山馬場字,283,144,139,0,1,3,3,0,4,0,4,3,1,5,4,7,2,4,4,4,4,6,9,8,5,12,10,16,11,26,15,15,10,14,11,8,8,8,15,5,18,140,
032018,岩手県,盛岡市,2025-09-30,芋田字,382,211,171,2,1,3,4,2,1,7,5,21,28,25,11,9,4,17,3,11,3,9,6,14,13,18,10,11,8,12,13,21,18,13,14,10,8,5,11,1,10,226,
032018,岩手県,盛岡市,2025-09-30,渋民字,1923,926,997,47,38,53,57,64,57,61,47,35,61,41,48,56,62,57,55,62,62,77,88,78,54,51,41,45,49,47,59,49,57,56,50,25,41,15,37,7,34,833,
032018,岩手県,盛岡市,2025-09-30,門前寺字,162,86,76,0,1,5,0,1,0,3,1,2,2,6,1,1,2,4,1,6,2,5,5,9,5,7,3,5,10,10,8,8,9,7,8,6,8,0,3,1,7,69,
032018,岩手県,盛岡市,2025-09-30,下田字,2701,1323,1378,25,17,32,35,61,40,67,47,45,36,30,32,30,26,57,54,95,86,78,68,88,75,99,82,111,102,121,152,143,125,112,121,71,104,31,80,27,96,1240,
032018,岩手県,盛岡市,2025-09-30,川崎字,116,52,64,1,2,2,0,1,0,4,3,3,2,0,1,1,0,1,5,2,2,2,4,7,8,3,6,4,2,4,7,8,8,5,7,3,1,0,3,1,3,45,
032018,岩手県,盛岡市,2025-09-30,玉山字,398,198,200,1,5,8,6,4,7,8,7,7,4,1,2,3,3,7,7,12,11,13,9,10,14,10,7,8,10,27,30,33,24,24,15,10,9,9,14,3,16,173,
032018,岩手県,盛岡市,2025-09-30,日戸字,281,146,135,4,1,2,0,3,4,5,4,1,5,4,4,5,3,5,1,7,8,11,10,13,11,7,6,15,11,16,14,23,14,13,16,3,7,6,7,3,9,114,
032018,岩手県,盛岡市,2025-09-30,川又字,304,163,141,2,3,4,0,9,4,6,8,9,4,5,3,5,4,9,3,9,7,14,10,13,10,10,9,13,8,14,16,21,15,8,15,4,6,6,13,2,3,127,
032018,岩手県,盛岡市,2025-09-30,上田字（※2）,28,13,15,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2,0,0,1,0,1,1,1,3,2,2,2,1,0,0,1,1,2,19,※2　糠森，小野松
032018,岩手県,盛岡市,2025-09-30,薮川字,153,89,64,0,0,0,0,1,0,0,0,1,0,3,0,2,0,2,2,3,0,8,1,3,2,5,4,9,3,10,13,17,13,7,9,10,4,5,8,3,5,96,
